movie_id,movie_title,numb_of_critics,duration,genres,num_voted_users,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,gross,title_year,imdb_score,aspect_ratio,movie_facebook_likes,director_id,actor_1_id,actor_2_id,actor_3_id
1621,Friday Night Lights            ,51,44,Drama|Sport,42746,football|football coach|high school|small town|texas,http://www.imdb.com/title/tt0758745/?ref_=fn_tt_tt_1,257,English,USA,TV-14,,,,8.7,1.78,0,,655,,
3482,Fargo            ,54,53,Crime|Drama|Thriller,170055,anthology|death|insurance salesman|minnesota|police officer,http://www.imdb.com/title/tt2802850/?ref_=fn_tt_tt_1,173,English,USA,TV-MA,,,,9.0,1.78,61000,,397,,
3304,The Bold and the Beautiful            ,1,30,Drama|Romance,5478,beverly hills california|family relationships|los angeles california|soap opera,http://www.imdb.com/title/tt0092325/?ref_=fn_tt_tt_1,54,English,USA,TV-14,,,,3.5,1.78,748,,1274,,
1500,Luther            ,51,60,Crime|Drama|Mystery|Thriller,70568,murder|police|psychopath,http://www.imdb.com/title/tt1474684/?ref_=fn_tt_tt_1,105,English,UK,TV-MA,,,,8.6,16.0,20000,,616,,
1036,Outlander            ,30,64,Drama|Romance|Sci-Fi,50391,based on novel|clan|scotland|scottish highlands|year 1743,http://www.imdb.com/title/tt3006802/?ref_=fn_tt_tt_1,148,English,USA,TV-MA,,,,8.5,16.0,31000,,435,,
1843,It's Always Sunny in Philadelphia            ,79,22,Comedy,133415,alcohol|bad taste humour|crude humor|loser|self obsession,http://www.imdb.com/title/tt0472954/?ref_=fn_tt_tt_1,151,English,USA,TV-MA,,,,8.8,1.33,0,,736,,
2953,Spartacus: War of the Damned            ,68,55,Action|Adventure|Biography|Drama|History,173172,female frontal nudity|female full frontal nudity|gladiator|group sex|slave girl,http://www.imdb.com/title/tt1442449/?ref_=fn_tt_tt_1,302,English,USA,TV-MA,,,,8.6,16.0,31000,,1086,,
3208,Dekalog            ,53,55,Drama,12591,meaning of life|moral challenge|morality|search for meaning|ten commandments,http://www.imdb.com/title/tt0092337/?ref_=fn_tt_tt_1,37,Polish,Poland,TV-MA,,447093,,9.1,1.33,0,,1098,,
4428,Modern Times,120,87,Comedy|Drama|Family,143086,actor director writer|invention|machine|music score composed by director|tramp,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,211,English,USA,G,1500000,163245,1936,8.6,1.37,0,2000,1755,,
4527,Casablanca,242,82,Drama|Romance|War,387508,american expatriate|casablanca morocco|gestapo|police|visa,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,1123,English,USA,PG,950000,,1942,8.6,1.37,23000,1620,1727,,
4050,It's a Wonderful Life,206,118,Drama|Family|Fantasy|Romance,275720,angel|bank|guardian angel|second chance|small town life,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,706,English,USA,PG,3180000,,1946,8.6,1.37,41000,1788,1569,,
4748,Seven Samurai,153,202,Action|Adventure|Drama,229012,16th century|battle|japan|practice|samurai,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,596,Japanese,Japan,Unrated,2000000,269061,1954,8.7,1.37,11000,1272,1931,,
4823,12 Angry Men,177,96,Crime|Drama,447785,courtroom|dialogue driven|dialogue driven storyline|jury|murder,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,888,English,USA,Not Rated,350000,,1957,8.9,1.66,40000,860,1979,,
2243,Psycho,290,108,Horror|Mystery|Thriller,422432,money|motel|rain|shower|theft,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,1040,English,USA,R,806947,32000000,1960,8.5,1.85,18000,932,882,,
4360,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,192,95,Comedy,342585,bomber|doomsday|general|u.s. president|war room,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,839,English,USA,PG,1800000,,1964,8.5,1.66,18000,328,1134,,
4499,"The Good, the Bad and the Ugly",181,142,Western,503509,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780,Italian,Italy,Approved,1200000,6100000,1966,8.9,2.35,20000,738,304,,
3767,Once Upon a Time in the West,164,145,Western,216005,gang|gun|harmonica|killing|woman in bathtub,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,565,English,Italy,PG-13,5000000,,1968,8.6,2.35,10000,738,1447,,
4893,The Stewardesses,21,93,Comedy|Drama,161,female frontal nudity|female nudity|lesbian sex|lesbianism|sex,http://www.imdb.com/title/tt0168192/?ref_=fn_tt_tt_1,5,English,USA,X,100000,,1969,4.0,1.37,17,2302,2026,,
3467,The Godfather,208,175,Crime|Drama,1155770,crime family|mafia|organized crime|patriarch|rise to power,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,2238,English,USA,R,6000000,134821952,1972,9.2,1.85,43000,420,211,,
2838,The Godfather: Part II,149,220,Crime|Drama,790926,1950s|corrupt politician|lake tahoe nevada|melancholy|revenge,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,650,English,USA,R,13000000,57300000,1974,9.0,1.85,14000,420,159,,
3868,One Flew Over the Cuckoo's Nest,149,133,Drama,680041,1960s|escape|mental institution|nurse|sexuality,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,760,English,USA,R,4400000,112000000,1975,8.7,1.85,32000,429,926,,
3025,Star Wars: Episode IV - A New Hope,282,125,Action|Adventure|Fantasy|Sci-Fi,911097,death star|empire|galactic war|princess|rebellion,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,1470,English,USA,PG,11000000,460935665,1977,8.7,2.35,33000,142,43,,
2787,Exorcist II: The Heretic,82,118,Horror,16294,demon|exorcism|locust|priest|repressed memory,http://www.imdb.com/title/tt0076009/?ref_=fn_tt_tt_1,252,English,USA,R,14000000,,1977,3.7,1.85,889,1003,1084,,
3278,Alien,392,116,Horror|Sci-Fi,563827,alien|creature|future|outer space|spaceship,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,1110,English,UK,R,11000000,78900000,1979,8.5,2.35,23000,19,563,,
1572,Apocalypse Now,261,289,Drama|War,450676,army|green beret|insanity|jungle|vietnam,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,983,English,USA,R,31500000,78800000,1979,8.5,2.35,19000,420,43,,
3677,Galaxina,24,95,Comedy|Sci-Fi,1955,alien|android|fem bot|female android|stars,http://www.imdb.com/title/tt0080771/?ref_=fn_tt_tt_1,44,English,USA,R,,,1980,3.4,2.35,438,1587,1406,,
2052,Star Wars: Episode V - The Empire Strikes Back,223,127,Action|Adventure|Fantasy|Sci-Fi,837759,duel|famous twist|rebel|rescue|snowy landscape,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,900,English,USA,PG,18000000,290158751,1980,8.8,2.35,17000,613,43,,
3184,Heartbeeps,19,78,Comedy|Sci-Fi,1040,escape|fish out of water|love|robot|servant,http://www.imdb.com/title/tt0082507/?ref_=fn_tt_tt_1,31,English,USA,PG,10000000,,1981,4.2,2.35,425,1341,1225,,
2153,Raiders of the Lost Ark,234,115,Action|Adventure,661017,archeological dig|archeologist|ark of the covenant|egypt|nazi,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,771,English,USA,PG,18000000,242374454,1981,8.5,2.35,16000,39,43,,
1073,Inchon,10,140,Drama|History|War,491,1950s|douglas macarthur|general|inchon|invasion,http://www.imdb.com/title/tt0084132/?ref_=fn_tt_tt_1,16,English,South Korea,PG,48000000,,1981,2.7,2.35,115,494,446,,
2454,Megaforce,40,99,Action|Sci-Fi,2541,dictator|electronic music score|one word title|secret headquarters|soldier,http://www.imdb.com/title/tt0084316/?ref_=fn_tt_tt_1,54,English,USA,PG,20000000,5333658,1982,3.5,1.85,0,1008,966,,
3408,The Wicked Lady,17,98,Adventure|Drama,802,female nudity|highwayman|nell gwynne|nudity|whipping,http://www.imdb.com/title/tt0086582/?ref_=fn_tt_tt_1,15,English,UK,R,8000000,,1983,4.0,1.85,79,1461,1312,,
2364,Back to the Future,198,116,Adventure|Comedy|Sci-Fi,732212,clock tower|delorean|future|time travel|time travel comedy,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,809,English,USA,PG,19000000,210609762,1985,8.5,1.18,39000,44,308,,
2523,Shanghai Surprise,21,97,Adventure|Crime|Drama|Romance,4081,china|missionary|opium|villain|year 1937,http://www.imdb.com/title/tt0091934/?ref_=fn_tt_tt_1,28,English,UK,PG-13,17000000,2315683,1986,3.0,1.85,154,1043,790,,
4084,Teen Wolf Too,29,95,Comedy|Fantasy,8465,falling in love|glowing eyes|insult|teenager|three word title,http://www.imdb.com/title/tt0094118/?ref_=fn_tt_tt_1,65,English,USA,PG,3000000,7888703,1987,3.2,1.85,491,1799,1586,,
2067,Jaws: The Revenge,80,92,Adventure|Horror|Thriller,30840,banana boat|boat|christmas|sea|shark,http://www.imdb.com/title/tt0093300/?ref_=fn_tt_tt_1,383,English,USA,PG-13,23000000,20763013,1987,2.8,2.35,0,868,815,,
1295,Ishtar,49,107,Action|Adventure|Comedy|Music|Thriller,8692,cia|emir|hotel|map|morocco,http://www.imdb.com/title/tt0093278/?ref_=fn_tt_tt_1,126,English,USA,PG-13,51000000,14375181,1987,4.2,1.85,754,574,534,,
2519,Superman IV: The Quest for Peace,94,134,Action|Adventure|Family|Sci-Fi,33570,box office flop|dc comics|hair|nuclear disarmament|superman,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,259,English,UK,PG,17000000,15681020,1987,3.6,2.35,1000,1039,52,,
1904,Goodfellas,192,146,Biography|Crime|Drama,728685,betrayal|gangster|mafia|organized crime|robbery,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,989,English,USA,R,25000000,46836394,1990,8.7,1.85,25000,49,159,,
2159,The Silence of the Lambs,185,138,Crime|Drama|Horror|Thriller,887467,case file|fbi agent|psycho thriller|psychopath|serial killer,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,916,English,USA,R,19000000,130727000,1991,8.6,1.85,40000,250,83,,
289,Terminator 2: Judgment Day,210,153,Action|Sci-Fi,744891,future|liquid metal|multiple cameos|sexy woman|time travel,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,983,English,USA,R,102000000,204843350,1991,8.5,2.35,13000,1,156,,
3635,Beastmaster 2: Through the Portal of Time,17,107,Action|Adventure|Fantasy|Sci-Fi,2281,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16,English,USA,PG-13,6000000,869325,1991,3.8,1.85,125,1568,1390,,
1875,Schindler's List,174,185,Biography|Drama|History,865020,german|german soldier|jew|jewish|nazi,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,1273,English,USA,R,22000000,96067179,1993,8.9,1.85,41000,39,23,,
1170,Super Mario Bros.,36,104,Adventure|Comedy|Family|Fantasy|Sci-Fi,38203,based on video game|dinosaur|king|mario|plumber,http://www.imdb.com/title/tt0108255/?ref_=fn_tt_tt_1,290,English,UK,PG,42000000,20915465,1993,4.0,1.85,0,536,213,,
2113,RoboCop 3,75,104,Action|Crime|Sci-Fi|Thriller,35018,android|corporation|ninja|police|robocop,http://www.imdb.com/title/tt0107978/?ref_=fn_tt_tt_1,180,English,USA,PG-13,23500000,10696210,1993,3.9,1.85,716,882,1,,
3356,Pulp Fiction,215,178,Crime|Drama,1324680,black comedy|cunnilingus|neo noir|nonlinear timeline|postmodern,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,2195,English,USA,R,8000000,107930000,1994,8.9,2.35,45000,169,100,,
1448,Street Fighter,63,102,Action|Adventure|Comedy|Thriller,53115,guile|hostage|ransom|soldier|united nations,http://www.imdb.com/title/tt0111301/?ref_=fn_tt_tt_1,282,English,Japan,PG-13,35000000,33423521,1994,3.8,2.35,0,629,194,,
837,Forrest Gump,149,142,Comedy|Drama,1251222,amputee|love|vietnam|vietnam war|war hero,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,1398,English,USA,PG-13,55000000,329691196,1994,8.8,2.35,59000,44,34,,
1938,The Shawshank Redemption,199,142,Crime|Drama,1689764,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,4144,English,USA,R,25000000,28341469,1994,9.3,1.85,108000,291,131,,
510,The Lion King,186,73,Adventure|Animation|Drama|Family|Musical,644348,king|prince|scar|uncle|unnecessary guilt,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,656,English,USA,G,45000000,422783777,1994,8.5,1.66,17000,221,92,,
3231,Police Academy: Mission to Moscow,17,83,Comedy|Crime,24958,captain|commandant|mafia|russian mafia|security system,http://www.imdb.com/title/tt0110857/?ref_=fn_tt_tt_1,103,English,USA,PG,6200000,126247,1994,3.3,1.85,321,1368,19,,
3593,The Usual Suspects,162,106,Crime|Drama|Mystery|Thriller,740918,criminal|dirty cop|flashback|limping|suspect,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,1182,English,USA,R,6000000,23272306,1995,8.6,2.35,28000,12,12,,
1601,Se7en,216,127,Crime|Drama|Mystery|Thriller,1023511,detective|police partner|serial killer|serial murder|seven deadly sins,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,1080,English,USA,R,33000000,100125340,1995,8.6,2.35,39000,69,131,,
3235,An Alan Smithee Film: Burn Hollywood Burn,29,86,Comedy,2971,box office flop|critically bashed|director|hollywood|mockumentary,http://www.imdb.com/title/tt0118577/?ref_=fn_tt_tt_1,85,English,USA,R,10000000,15447,1997,3.5,1.85,89,1370,377,,
268,Speed 2: Cruise Control,79,121,Action|Crime|Romance|Thriller,60573,collision course|computer|cruise|diamonds|ship run aground,http://www.imdb.com/title/tt0120179/?ref_=fn_tt_tt_1,248,English,USA,PG-13,160000000,48068396,1997,3.7,2.35,894,156,148,37,233
218,Batman & Robin,183,125,Action,189855,butler|critically bashed|cure|freeze|gotham,http://www.imdb.com/title/tt0118688/?ref_=fn_tt_tt_1,1018,English,USA,PG-13,125000000,107285004,1997,3.7,1.85,0,133,121,175,191
4922,Children of Heaven,46,89,Drama|Family,27882,class|gardening|race|school|shoe,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,130,Persian,Iran,PG,180000,925402,1997,8.5,1.85,0,2320,2045,,
1935,Spice World,33,93,Comedy|Family|Music,28377,bus|concert|live concert|pop group|spice girl,http://www.imdb.com/title/tt0120185/?ref_=fn_tt_tt_1,261,English,UK,PG,25000000,29247405,1997,3.3,1.85,0,812,252,,
2582,Steel,36,97,Action|Crime|Sci-Fi,8687,fight|gang|junkyard|military|soldier,http://www.imdb.com/title/tt0120207/?ref_=fn_tt_tt_1,62,English,USA,PG-13,16000000,1686429,1997,2.8,1.85,0,1073,1017,,
1661,Mortal Kombat: Annihilation,59,95,Action|Adventure|Fantasy|Sci-Fi|Thriller,36363,alternate reality|battle|martial arts|mortal kombat|warrior,http://www.imdb.com/title/tt0119707/?ref_=fn_tt_tt_1,256,English,USA,PG-13,30000000,35927406,1997,3.7,1.85,1000,708,672,,
649,Saving Private Ryan,219,169,Action|Drama|War,881236,army|invasion|killed in action|normandy|soldier,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,2277,English,USA,R,70000000,216119491,1998,8.6,1.85,22000,39,34,,
2697,Barney's Great Adventure,24,76,Adventure|Family,2724,apostrophe in title|critically bashed|hit on the head with a ball|punctuation in title|tyrannosaurus rex,http://www.imdb.com/title/tt0120598/?ref_=fn_tt_tt_1,53,English,Canada,G,15000000,11144518,1998,2.8,1.85,436,1127,1048,,
3998,I Got the Hook Up,19,93,Comedy,1721,friend|obscenity|scam|vacant lot|van,http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1,38,English,USA,R,3500000,10305534,1998,3.9,1.85,280,1756,1548,,
3176,American History X,162,101,Crime|Drama,782437,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,1420,English,USA,R,7500000,6712241,1998,8.6,1.85,35000,654,1002,,
3526,Chairman of the Board,12,95,Comedy,5143,box office flop|company|invention|roommate|surfer,http://www.imdb.com/title/tt0118836/?ref_=fn_tt_tt_1,62,English,USA,PG-13,10000000,306715,1998,2.3,1.85,724,1513,370,,
2044,Meet the Deedles,18,93,Comedy|Family,2265,accidental kiss|eating a worm|park|worm|yellowstone national park,http://www.imdb.com/title/tt0120645/?ref_=fn_tt_tt_1,37,English,USA,PG,24000000,4308981,1998,3.9,,839,741,75,,
2866,Woo,23,84,Comedy|Romance,1520,blind date|law clerk|love|manhattan new york city|world trade center manhattan new york city,http://www.imdb.com/title/tt0120531/?ref_=fn_tt_tt_1,20,English,USA,R,13000000,8026971,1998,3.8,,204,1203,286,,
2116,Dudley Do-Right,41,77,Comedy|Family|Romance,8176,gold|gold rush|mirror|police officer|singer,http://www.imdb.com/title/tt0160236/?ref_=fn_tt_tt_1,77,English,USA,PG,22000000,9694105,1999,3.8,2.35,272,632,241,,
684,Fight Club,315,151,Drama,1347461,anti establishment|dark humor|fighting|multiple personality disorder|surprise ending,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,2968,English,USA,R,63000000,37023395,1999,8.8,2.35,48000,69,76,,
713,The Green Mile,186,189,Crime|Drama|Fantasy|Mystery,782610,1930s|death row inmate|healing|prison guard|southern u.s.,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,1377,English,USA,R,60000000,136801374,1999,8.5,1.85,30000,291,34,,
655,The Matrix,313,136,Action|Sci-Fi,1217752,artificial reality|computer|matrix|questioning reality|simulated reality,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,3646,English,USA,R,63000000,171383253,1999,8.7,2.35,25000,45,64,,
3565,Bats,97,91,Horror|Sci-Fi|Thriller,8294,animal attack|bat|creature feature|experiment|mad scientist,http://www.imdb.com/title/tt0200469/?ref_=fn_tt_tt_1,160,English,USA,PG-13,6500000,10149779,1999,3.6,2.35,342,1534,1369,,
3463,The Omega Code,39,100,Action|Adventure|Fantasy|Sci-Fi|Thriller,4682,code|evil|false accusation|megalomaniac|torah,http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1,206,English,USA,PG-13,7500000,12610552,1999,3.5,1.37,129,1494,1332,,
2853,Baby Geniuses,45,97,Comedy|Crime|Family|Sci-Fi,19547,baby|boy|science|scientist|toddler,http://www.imdb.com/title/tt0118665/?ref_=fn_tt_tt_1,168,English,USA,PG,18000000,27141959,1999,2.5,1.85,0,951,1108,,
2372,Thomas and the Magic Railroad,47,85,Adventure|Comedy|Drama|Family|Fantasy,2855,locomotive|magic|mountain|railroad|steam locomotive,http://www.imdb.com/title/tt0205461/?ref_=fn_tt_tt_1,119,English,UK,G,19000000,15911333,2000,3.6,1.85,663,980,716,,
3911,3 Strikes,22,82,Comedy,1415,adult diaper|diaper|digit in title|dream|sawed off shotgun,http://www.imdb.com/title/tt0199290/?ref_=fn_tt_tt_1,10,English,USA,R,6000000,9821335,2000,4.0,1.85,118,1712,560,,
4579,Luminarias,13,100,Comedy|Romance,505,divorce|friend|jewish|lent|restaurant,http://www.imdb.com/title/tt0160498/?ref_=fn_tt_tt_1,32,English,USA,R,1000000,428535,2000,3.6,,24,2091,798,,
2663,Book of Shadows: Blair Witch 2,160,90,Adventure|Fantasy|Horror|Mystery|Thriller,28964,convenience store|digit in title|punctuation in title|violence|witch,http://www.imdb.com/title/tt0229260/?ref_=fn_tt_tt_1,457,English,USA,R,15000000,26421314,2000,4.0,1.85,949,1106,1038,,
4670,The Young Unknowns,13,87,Drama,122,based on play|independent film,http://www.imdb.com/title/tt0186719/?ref_=fn_tt_tt_1,3,English,USA,R,,58163,2000,4.2,,4,2158,1007,,
819,The Flintstones in Viva Rock Vegas,57,90,Comedy|Family|Romance|Sci-Fi,15517,based on tv series|love|prequel|the flintstones|title appears in song,http://www.imdb.com/title/tt0158622/?ref_=fn_tt_tt_1,85,English,USA,PG,60000000,35231365,2000,3.6,1.85,500,356,370,,
3717,Memento,274,113,Mystery|Thriller,845580,flashback|memory|murder|short term memory|telephone,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,2067,English,USA,R,9000000,25530884,2000,8.5,2.35,40000,4,639,,
284,Gladiator,265,171,Action|Drama|Romance,982637,battlefield|blood|combat|gladiator|roman empire,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,2368,English,USA,R,103000000,187670866,2000,8.5,2.35,21000,19,154,,
496,Battlefield Earth,174,119,Action|Adventure|Sci-Fi,65464,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,http://www.imdb.com/title/tt0185183/?ref_=fn_tt_tt_1,1308,English,USA,PG-13,44000000,21471685,2000,2.4,2.35,0,258,240,,
4300,Hum To Mohabbat Karega,1,,Action|Comedy|Romance|Thriller,275,elevator|news reporter|police|restaurant|waiter,http://www.imdb.com/title/tt0249588/?ref_=fn_tt_tt_1,1,Hindi,India,,,,2000,2.8,,10,1922,1695,,
2374,Spirited Away,246,125,Adventure|Animation|Family|Fantasy,417971,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,902,Japanese,Japan,PG,19000000,10049886,2001,8.6,1.85,28000,657,933,,
2808,Soul Survivors,64,84,Drama|Horror|Mystery|Thriller,7277,car accident|college|ghost|girl in panties|white panties,http://www.imdb.com/title/tt0218619/?ref_=fn_tt_tt_1,181,English,USA,PG-13,14000000,3100650,2001,3.9,1.85,231,1183,1091,,
271,The Lord of the Rings: The Fellowship of the Ring,297,171,Action|Adventure|Drama|Fantasy,1238746,elf|hobbit|middle earth|quest|ring,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,5060,English,New Zealand,PG-13,93000000,313837577,2001,8.8,2.35,21000,17,19,2,236
3341,Glitter,66,104,Drama|Music|Romance,19412,cult film|disc jockey|female protagonist|music business|one word title,http://www.imdb.com/title/tt0118589/?ref_=fn_tt_tt_1,308,English,USA,PG-13,22000000,4273372,2001,2.1,2.35,0,1429,1288,,
2936,Crossroads,111,93,Comedy|Drama,34219,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,USA,PG-13,12000000,37188667,2002,3.3,1.85,0,1233,1132,,
1304,Feardotcom,104,101,Crime|Horror|Thriller,17309,bondage gear|bound and gagged|hung by one's wrists|tied to a chair|tied to a table,http://www.imdb.com/title/tt0295254/?ref_=fn_tt_tt_1,388,English,UK,R,42000000,13208023,2002,3.3,2.35,612,578,327,,
4030,City of God,214,135,Crime|Drama,533200,coming of age|male frontal nudity|male nudity|photographer|slum,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,749,Portuguese,Brazil,R,3300000,7563397,2002,8.7,1.85,28000,788,642,,
322,The Adventures of Pluto Nash,66,95,Action|Comedy|Sci-Fi,20295,casino|future|laser gun|moon|nightclub,http://www.imdb.com/title/tt0180052/?ref_=fn_tt_tt_1,164,English,USA,PG-13,100000000,4411102,2002,3.8,1.85,416,184,170,,
2259,The Country Bears,43,88,Comedy|Family|Music|Musical,3875,animal in title|bear|box office flop|disney|satire,http://www.imdb.com/title/tt0276033/?ref_=fn_tt_tt_1,75,English,USA,G,35000000,16988996,2002,4.0,1.85,422,939,198,,
622,Ballistic: Ecks vs. Sever,92,91,Action|Crime|Sci-Fi|Thriller,16761,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,277,English,USA,R,70000000,14294842,2002,3.6,2.35,391,305,287,,
3217,Swept Away,71,89,Comedy|Romance,13145,island|sailor|storm|stranded|vacation,http://www.imdb.com/title/tt0291502/?ref_=fn_tt_tt_1,215,English,UK,R,10000000,598645,2002,3.6,1.85,725,129,237,,
621,Rollerball,151,98,Action|Sci-Fi|Sport,22264,ball|blood|skating|song|year 2005,http://www.imdb.com/title/tt0246894/?ref_=fn_tt_tt_1,289,English,USA,R,70000000,18990542,2002,3.0,2.35,584,131,286,,
341,The Lord of the Rings: The Two Towers,294,172,Action|Adventure|Drama|Fantasy,1100446,epic|evil wizard|middle earth|ring|wizard,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,2417,English,USA,PG-13,94000000,340478898,2002,8.7,2.35,10000,17,19,,
1449,The Pianist,193,150,Biography|Drama|War,497946,ghetto|holocaust|jewish|piano|warsaw ghetto,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,761,English,France,R,35000000,32519322,2002,8.5,1.85,21000,335,592,,
2551,The Master of Disguise,56,80,Comedy|Family,18254,disguise|mask|master of disguise|restaurant|waiter,http://www.imdb.com/title/tt0295427/?ref_=fn_tt_tt_1,307,English,USA,PG,16000000,40363530,2002,3.3,1.85,1000,1057,1005,,
4770,Crossroads,111,93,Comedy|Drama,34219,audition|friendship|graduation|high school graduation|love,http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1,578,English,USA,PG-13,12000000,37188667,2002,3.3,1.85,0,1233,1132,,
