id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
11822,4087,111271,Évian Thonon Gaillard FC,ETG
9556,9853,1819,AS Saint-Étienne,ETI
1042,6351,2013,KAS Eupen,EUP
3467,8668,7,Everton,EVE
27780,10218,1971,Excelsior,EXC
39387,8596,79,Falkirk,FAL
15624,8722,31,1. FC Köln,FCK
18074,8194,110636,Fortuna Düsseldorf,FDU
36723,4064,,Feirense,FEI
35289,6403,1892,FC Paços de Ferreira,FER
26558,10235,246,Feyenoord,FEY
20521,8535,110374,Fiorentina,FIO
16237,8358,25,SC Freiburg,FRE
25791,9891,111657,Frosinone,FRO
3474,9879,144,Fulham,FUL
29624,6433,100632,Go Ahead Eagles,GAE
14876,6391,110316,GFC Ajaccio,GAJ
49479,10190,898,FC St. Gallen,GAL
20518,10233,110556,Genoa,GEN
7,9991,674,KAA Gent,GEN
1,9987,673,KRC Genk,GEN
43046,8305,1860,Getafe CF,GET
15631,9788,23,Borussia Mönchengladbach,GLA
31445,8020,111429,Polonia Bytom,GOR
26554,8526,635,De Graafschap,GRA
49115,9956,322,Grasshopper Club Zürich,GRA
45330,7878,110832,Granada CF,GRA
9554,9855,1805,Grenoble Foot 38,GRE
18079,8357,165,SpVgg Greuther Fürth,GRF
26548,8674,1915,FC Groningen,GRO
13343,9747,62,En Avant de Guingamp,GUI
35287,7844,1887,Vitória Guimarães,GUI
26560,10217,650,ADO Den Haag,HAA
15618,9790,28,Hamburger SV,HAM
39397,8429,184,Hamilton Academical FC,HAM
15622,9904,485,Hannover 96,HAN
15626,8177,166,Hertha BSC Berlin,HBE
39389,9860,80,Heart of Midlothian,HEA
26562,10228,1913,SC Heerenveen,HEE
44557,10278,100879,Hércules Club de Fútbol,HER
26557,9791,100634,Heracles Almelo,HER
39392,10251,81,Hibernian,HIB
15630,8226,10029,TSG 1899 Hoffenheim,HOF
43048,8479,571,RC Recreativo,HUE
3473,8667,1952,Hull City,HUL
19916,8234,111239,FC Ingolstadt 04,ING
20528,8636,44,Inter,INT
39394,8066,620,Inverness Caledonian Thistle,INV
39853,8467,100804,St. Johnstone FC,JOH
20522,9885,45,Juventus,JUV
16848,8350,29,1. FC Kaiserslautern,KAI
15633,8295,1832,Karlsruher SC,KAR
39391,8597,82,Kilmarnock,KIL
31925,8245,111083,Korona Kielce,KKI
14,8571,100081,KV Kortrijk,KOR
48358,8306,472,UD Las Palmas,LAS
50204,7730,1862,FC Lausanne-Sports,LAU
20516,8543,46,Lazio,LAZ
20530,9888,347,Lecce,LEC
34337,8019,110565,Górnik Łęczna,LEC
31447,8673,1871,Legia Warszawa,LEG
9541,9746,1738,Le Havre AC,LEH
8021,8197,95,Leicester City,LEI
35295,6421,10018,Leixões SC,LEI
9543,8682,1739,Le Mans FC,LEM
10300,8588,64,RC Lens,LEN
15619,8178,32,Bayer 04 Leverkusen,LEV
44565,8581,1853,Levante UD,LEV
31450,8030,111091,Lechia Gdańsk,LGD
1034,9989,239,Lierse SK,LIE
9550,8639,65,LOSC Lille,LIL
3462,8650,9,Liverpool,LIV
21285,8537,1844,Livorno,LIV
31451,8244,301,Widzew Łódź,LOD
4,9994,2007,Sporting Lokeren,LOK
9544,8689,217,FC Lorient,LOR
51606,7896,,Lugano,LUG
49121,10199,897,FC Luzern,LUZ
9545,9748,66,Olympique Lyonnais,LYO
38789,6367,,Uniao da Madeira,MAD
16243,9905,169,1. FSV Mainz 05,MAI
43036,8661,453,RCD Mallorca,MAL
43054,9864,573,Málaga CF,MAL
9552,8592,219,Olympique de Marseille,MAR
35298,10212,1893,CS Marítimo,MAR
3466,8456,10,Manchester City,MCI
11,8203,110724,KV Mechelen,MEC
14106,8550,68,FC Metz,MET
3469,8549,12,Middlesbrough,MID
39396,9800,100805,St. Mirren,MIR
10309,10249,70,Montpellier Hérault SC,MON
9547,9829,69,AS Monaco,MON
8,9998,1747,RAEC Mons,MON
2510,274581,111560,Royal Excel Mouscron,MOP
37210,8348,1900,Moreirense FC,MOR
39390,9927,83,Motherwell,MOT
16,9996,111560,Royal Excel Mouscron,MOU
3457,10260,11,Manchester United,MUN
35296,10214,1891,CD Nacional,NAC
26564,9761,1904,NAC Breda,NAC
9549,8481,1823,AS Nancy-Lorraine,NAN
9538,9830,71,FC Nantes,NAN
20526,9875,48,Napoli,NAP
35297,9809,100737,Naval 1° de Maio,NAV
26553,8464,1910,N.E.C.,NEC
3458,10261,13,Newcastle United,NEW
9542,9831,72,OGC Nice,NIC
5756,9850,1792,Norwich City,NOR
22805,6269,112225,Novara,NOV
43041,8388,477,CD Numancia,NUM
16239,8165,171,1. FC Nürnberg,NUR
1513,1773,100087,Oud-Heverlee Leuven,O-H
31452,8242,1564,Odra Wodzisław,ODR
35774,2033,111540,S.C. Olhanense,OLH
2476,8573,682,KV Oostende,OOS
43037,8371,479,CA Osasuna,OSA
19305,8460,10030,SC Paderborn 07,PAD
20532,8540,1843,Palermo,PAL
21292,10167,50,Parma,PAR
41673,8426,1754,Partick Thistle F.C.,PAR
38173,6547,100741,FC Penafiel,PEN
23523,9878,200,Pescara,PES
31457,8028,111086,Piast Gliwice,PIG
31444,8031,111429,Polonia Bytom,POB
32891,8033,111087,Podbeskidzie Bielsko-Biała,POD
33377,8023,110746,Pogoń Szczecin,POG
36248,9765,,Portimonense,POR
3476,8462,1790,Portsmouth,POR
35283,9773,236,FC Porto,POR
31453,2182,873,Lech Poznań,POZ
9548,9847,73,Paris Saint-Germain,PSG
26556,8640,247,PSV,PSV
31448,2183,1570,P. Warszawa,PWA
5747,10172,15,Queens Park Rangers,QPR
39388,8548,86,Rangers,RAN
45333,8370,480,Rayo Vallecano,RAY
6509,9798,1793,Reading,REA
43040,8633,243,Real Madrid CF,REA
20520,8690,203,Reggio Calabria,REG
12587,9837,379,Stade de Reims,REI
9551,9851,74,Stade Rennais FC,REN
27161,10219,1905,RKC Waalwijk,RKC
26549,9803,1902,Roda JC Kerkrade,ROD
20525,8686,52,Roma,ROM
13,9999,546,KSV Roeselare,ROS
41217,8649,631,Ross County FC,ROS
15621,10189,34,FC Schalke 04,S04
20527,9882,1837,Sampdoria,SAM
43043,8696,456,Racing Santander,SAN
24288,7943,111974,Sassuolo,SAS
35285,9768,237,Sporting CP,SCP
50201,9777,324,Servette FC,SER
35288,10238,665,Vitória Setúbal,SET
43044,8302,481,Sevilla FC,SEV
20514,8551,1838,Siena,SIE
49120,10179,110770,FC Sion,SIO
31449,8025,111092,Śląsk Wrocław,SLA
44569,8560,457,Real Sociedad,SOC
9553,9874,226,FC Sochaux-Montbéliard,SOC
6504,8466,17,Southampton,SOU
26559,8614,100646,Sparta Rotterdam,SPA
43045,9869,459,Real Sporting de Gijón,SPG
3472,10194,1806,Stoke City,STK
10,9985,232,Standard de Liège,STL
16850,8152,110329,FC St. Pauli,STP
614,9997,680,Sint-Truidense VV,STT
15632,10269,36,VfB Stuttgart,STU
3461,8472,106,Sunderland,SUN
5744,10003,1960,Swansea City,SWA
34816,177361,,Termalica Bruk-Bet Nieciecza,TBN
43804,9867,260,CD Tenerife,TEN
49837,10191,1715,FC Thun,THU
38791,188163,,Tondela,TON
20529,9804,54,Torino,TOR
3470,8586,18,Tottenham Hotspur,TOT
9546,9941,1809,Toulouse FC,TOU
35286,7992,,Trofense,TRO
12595,10242,294,ES Troyes AC,TRO
15,4049,,Tubize,TUB
26550,8611,1908,FC Twente,TWE
20531,8600,55,Udinese,UDI
35769,9771,1895,"União de Leiria, SAD",ULE
26555,9908,1903,FC Utrecht,UTR
49122,9824,286,FC Vaduz,VAD
43050,10281,462,Real Valladolid,VAL
9555,9873,110456,Valenciennes FC,VAL
43035,10267,461,Valencia CF,VAL
27168,9839,100651,VVV-Venlo,VEN
24273,9876,206,Hellas Verona,VER
43038,10205,483,Villarreal CF,VIL
26547,8277,1909,Vitesse,VIT
26561,6601,,FC Volendam,VOL
2004,8475,110913,Waasland-Beveren,WAA
8784,9817,1795,Watford,WAT
3460,8659,109,West Bromwich Albion,WBA
15628,8697,38,SV Werder Bremen,WBR
17,10001,681,KVC Westerlo,WES
3463,8654,19,West Ham United,WHU
32409,8024,301,Widzew Łódź,WID
3464,8528,1917,Wigan Athletic,WIG
26551,8525,1907,Willem II,WII
31443,10265,1873,Wisła Kraków,WIS
15623,8721,175,VfL Wolfsburg,WOL
4225,8602,110,Wolverhampton Wanderers,WOL
49123,7955,435,Neuchâtel Xamax,XAM
43800,9868,1742,Xerez Club Deportivo,XER
31928,8021,110749,Zagłębie Lubin,ZAG
43803,8394,244,Real Zaragoza,ZAR
33855,8027,112512,Zawisza Bydgoszcz,ZAW
3,10000,15005,SV Zulte-Waregem,ZUL
49124,10243,894,FC Zürich,ZUR
29000,6413,1914,PEC Zwolle,ZWO
