SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE
209262,0,Cash loans,F,N,Y,1,157500.0,495351.0,52146.0,459000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.030755
336437,0,Cash loans,F,Y,Y,3,90000.0,135000.0,5944.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Separated,With parents,0.019101
136125,0,Cash loans,M,N,Y,1,121500.0,733315.5,42876.0,679500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.022625
300635,0,Cash loans,F,N,N,0,112500.0,343800.0,12478.5,225000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.031329
412577,0,Cash loans,M,N,N,0,157500.0,473760.0,46282.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,0.003818
420389,0,Revolving loans,M,Y,Y,0,103500.0,315000.0,15750.0,315000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246
436038,0,Cash loans,F,N,N,0,108000.0,675000.0,21559.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.010006
419225,0,Cash loans,F,N,Y,0,72000.0,1350000.0,37255.5,1350000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.007305
337617,0,Cash loans,F,N,Y,1,157500.0,900000.0,48955.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663
358386,1,Revolving loans,F,N,Y,0,67500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.011703
130170,0,Cash loans,F,N,Y,2,166500.0,640080.0,31261.5,450000.0,Other_B,Working,Secondary / secondary special,Married,Municipal apartment,0.011703
340912,0,Cash loans,M,Y,Y,0,135000.0,675000.0,24376.5,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.030755
451658,0,Cash loans,M,Y,Y,3,675000.0,720000.0,75735.0,720000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.026392
429396,1,Cash loans,M,Y,Y,0,292500.0,592560.0,32143.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164
301193,0,Revolving loans,F,N,Y,2,76500.0,247500.0,12375.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Married,Municipal apartment,0.00733
450417,0,Cash loans,M,Y,N,0,112500.0,279000.0,13698.0,279000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.0105
326126,0,Cash loans,M,N,Y,0,292500.0,780286.5,56911.5,666000.0,"Spouse, partner",Commercial associate,Secondary / secondary special,Married,House / apartment,0.011703
177094,1,Revolving loans,F,N,Y,1,171000.0,202500.0,10125.0,202500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.006629
334563,0,Cash loans,F,N,N,0,252000.0,1205896.5,35388.0,1053000.0,Unaccompanied,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0.016612000000000002
116377,0,Cash loans,F,N,Y,0,144000.0,254700.0,14751.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.04622
229568,0,Revolving loans,F,N,Y,2,202500.0,270000.0,13500.0,270000.0,Family,State servant,Secondary / secondary special,Married,House / apartment,0.031329
206947,0,Cash loans,M,Y,Y,1,225000.0,1203529.5,51120.0,1021500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.031329
430229,0,Cash loans,M,Y,Y,0,81000.0,86346.0,9162.0,81000.0,"Spouse, partner",Working,Secondary / secondary special,Civil marriage,House / apartment,0.002506
413744,0,Cash loans,F,N,Y,1,157500.0,270000.0,10003.5,270000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.008575
224432,0,Cash loans,F,N,Y,1,225000.0,819391.5,45751.5,715500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.005002
169052,0,Cash loans,F,N,Y,0,135000.0,1078200.0,31653.0,900000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.010643
245108,0,Cash loans,F,N,Y,2,90000.0,143910.0,15399.0,135000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663
401818,0,Cash loans,F,Y,N,1,256500.0,550980.0,43659.0,450000.0,Unaccompanied,Commercial associate,Higher education,Married,With parents,0.014464
414314,0,Revolving loans,M,N,Y,0,238500.0,270000.0,13500.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.005002
279849,0,Cash loans,F,N,Y,0,202500.0,900000.0,26316.0,900000.0,Family,Working,Higher education,Civil marriage,House / apartment,0.015221
170755,0,Cash loans,F,Y,Y,1,90000.0,225000.0,17905.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014519999999999996
359436,0,Cash loans,F,N,Y,0,130500.0,989577.0,32832.0,751500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246
276332,0,Cash loans,F,N,Y,0,225000.0,733176.0,23652.0,612000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009657
241025,1,Cash loans,M,N,N,1,252000.0,557005.5,25299.0,423000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.001333
188149,0,Cash loans,M,Y,N,0,126000.0,640080.0,29970.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.035792000000000004
205064,0,Cash loans,F,N,Y,1,67500.0,52128.0,5283.0,45000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006008
312045,0,Cash loans,F,N,Y,0,135000.0,654498.0,30456.0,585000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.0228
338579,0,Cash loans,M,Y,Y,0,405000.0,1247472.0,49603.5,1147500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.02461
242572,0,Cash loans,F,N,Y,0,135000.0,663093.0,19516.5,553500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.018801
428191,0,Cash loans,M,N,Y,1,360000.0,450000.0,38628.0,450000.0,Unaccompanied,State servant,Higher education,Civil marriage,House / apartment,0.04622
379243,0,Cash loans,F,N,N,0,135000.0,592560.0,21960.0,450000.0,Unaccompanied,Commercial associate,Incomplete higher,Civil marriage,House / apartment,0.008068
298714,0,Cash loans,M,Y,N,0,225000.0,263686.5,27819.0,238500.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.006629
280115,0,Cash loans,M,N,N,0,180000.0,675000.0,21195.0,675000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,With parents,0.025164
392327,0,Cash loans,M,Y,Y,1,202500.0,675000.0,32472.0,675000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00823
106255,0,Cash loans,F,Y,Y,0,112500.0,675000.0,24376.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.026392
276925,0,Cash loans,F,N,Y,0,90000.0,276277.5,17032.5,238500.0,Unaccompanied,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.008473999999999999
202880,0,Cash loans,M,Y,Y,0,450000.0,2013840.0,59013.0,1800000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.04622
279821,0,Cash loans,F,N,Y,1,112500.0,207711.0,14899.5,189000.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.01885
392833,0,Cash loans,F,N,Y,0,135000.0,904500.0,38452.5,904500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.014519999999999996
425781,0,Cash loans,F,N,Y,0,315000.0,918468.0,30483.0,697500.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.018634
445378,0,Cash loans,M,Y,Y,0,180000.0,1139845.5,48424.5,1048500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018029
137821,0,Cash loans,F,N,Y,1,198000.0,835380.0,33129.0,675000.0,Unaccompanied,State servant,Higher education,Married,House / apartment,0.035792000000000004
409938,0,Cash loans,F,Y,N,0,135000.0,808650.0,26217.0,675000.0,"Spouse, partner",Pensioner,Secondary / secondary special,Married,House / apartment,0.011703
141175,0,Cash loans,F,N,Y,1,112500.0,497520.0,48595.5,450000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.003069
371485,0,Cash loans,F,N,Y,0,157500.0,524403.0,39339.0,495000.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.00496
451622,0,Cash loans,F,N,Y,0,69750.0,135000.0,6493.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.015221
256299,0,Cash loans,F,N,Y,0,135000.0,983299.5,41791.5,904500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009175
257248,0,Cash loans,F,N,N,1,112500.0,450000.0,22018.5,450000.0,Unaccompanied,State servant,Incomplete higher,Married,House / apartment,0.0228
285520,0,Cash loans,F,N,Y,0,126000.0,427450.5,34402.5,369000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.00496
280827,0,Cash loans,F,N,Y,0,135000.0,239850.0,23364.0,225000.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.02461
369989,0,Cash loans,F,N,Y,0,135000.0,1515415.5,62671.5,1354500.0,Children,Working,Secondary / secondary special,Married,House / apartment,0.010032
174084,0,Cash loans,F,N,Y,1,81000.0,170640.0,8428.5,135000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.015221
100643,0,Cash loans,F,N,Y,0,90000.0,755190.0,29677.5,675000.0,Family,Pensioner,Higher education,Separated,House / apartment,0.003069
248393,0,Cash loans,F,N,Y,0,202500.0,819432.0,26563.5,684000.0,Family,Working,Secondary / secondary special,Separated,House / apartment,0.014464
147992,0,Cash loans,F,N,Y,0,76500.0,269550.0,13095.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.01885
233028,0,Cash loans,F,Y,Y,1,121500.0,298512.0,17266.5,270000.0,"Spouse, partner",Working,Incomplete higher,Married,House / apartment,0.035792000000000004
396001,0,Cash loans,M,N,N,0,54000.0,284400.0,13963.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.0228
326648,0,Cash loans,F,Y,N,1,157500.0,677664.0,21406.5,585000.0,Children,Working,Secondary / secondary special,Married,Rented apartment,0.0228
358501,0,Cash loans,F,N,Y,1,90000.0,675000.0,27229.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461
339065,0,Cash loans,F,N,N,0,157500.0,450000.0,27193.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.01885
436769,0,Cash loans,F,N,N,0,225000.0,2013840.0,53253.0,1800000.0,Unaccompanied,Commercial associate,Higher education,Widow,House / apartment,0.00823
169018,0,Cash loans,F,N,Y,1,427500.0,1762110.0,48586.5,1575000.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.072508
261444,0,Revolving loans,F,Y,Y,0,90000.0,270000.0,13500.0,270000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009549
380870,0,Cash loans,M,Y,Y,2,157500.0,490495.5,30136.5,454500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.025164
381272,0,Revolving loans,F,N,N,0,315000.0,270000.0,13500.0,270000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.072508
439105,0,Cash loans,F,N,Y,0,112500.0,327024.0,21420.0,270000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.031329
256759,1,Cash loans,M,N,Y,2,216000.0,748651.5,54607.5,639000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.035792000000000004
170103,0,Cash loans,F,N,Y,1,157500.0,90000.0,9823.5,90000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.025164
241079,0,Cash loans,F,N,Y,0,198000.0,765261.0,32553.0,684000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009175
365708,0,Revolving loans,F,N,N,1,67500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Separated,With parents,0.010147
406218,0,Cash loans,M,Y,Y,0,171000.0,625536.0,32386.5,540000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,Rented apartment,0.002506
419768,0,Cash loans,M,Y,Y,0,202500.0,630000.0,32296.5,630000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.028663
118052,0,Cash loans,M,N,N,0,90000.0,190764.0,15201.0,157500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0105
113489,0,Revolving loans,M,Y,N,0,225000.0,1575000.0,78750.0,1575000.0,Unaccompanied,Working,Higher education,Married,With parents,0.035792000000000004
169671,0,Cash loans,F,N,Y,0,90000.0,269550.0,11547.0,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.020246
166504,0,Cash loans,F,Y,N,1,90000.0,1006920.0,39933.0,900000.0,Family,Working,Higher education,Married,With parents,0.00963
192038,0,Cash loans,M,Y,Y,2,112500.0,435276.0,26757.0,355500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006670999999999999
217851,0,Cash loans,M,Y,Y,1,189000.0,592560.0,32274.0,450000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.00496
158633,0,Cash loans,F,N,N,2,225000.0,553806.0,23593.5,495000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.019101
162677,0,Cash loans,F,Y,Y,0,171000.0,675000.0,28597.5,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004
431458,0,Cash loans,M,N,Y,0,315000.0,547344.0,28471.5,472500.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.032561
369850,1,Cash loans,M,N,N,0,225000.0,1078200.0,38331.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018801
399495,0,Cash loans,F,N,Y,0,270000.0,1506816.0,47443.5,1350000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713
258221,0,Cash loans,F,N,Y,0,144000.0,1128595.5,33129.0,985500.0,Family,Pensioner,Secondary / secondary special,Married,House / apartment,0.007305
299999,0,Cash loans,M,Y,Y,0,135000.0,341280.0,24961.5,270000.0,Unaccompanied,Working,Higher education,Widow,House / apartment,0.006207
406379,0,Cash loans,F,N,N,0,157500.0,74182.5,6934.5,67500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,With parents,0.018029
284851,0,Cash loans,M,Y,Y,1,180000.0,720000.0,34767.0,720000.0,"Spouse, partner",Working,Secondary / secondary special,Married,With parents,0.014519999999999996
214570,0,Cash loans,M,N,Y,0,99000.0,263686.5,15268.5,238500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.031329
223597,0,Cash loans,F,N,N,0,67500.0,254700.0,25321.5,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.006207
289400,0,Cash loans,M,Y,Y,0,180000.0,300735.0,15354.0,243000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,House / apartment,0.010147
328304,0,Cash loans,F,N,Y,0,90000.0,225000.0,13896.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018209
320615,0,Cash loans,F,Y,Y,0,94500.0,225000.0,13045.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.028663
257410,0,Cash loans,F,N,Y,0,135000.0,547344.0,30690.0,472500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.031329
196791,1,Cash loans,F,N,Y,0,135000.0,284400.0,22599.0,225000.0,Family,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.006852
304143,0,Revolving loans,M,Y,Y,0,225000.0,180000.0,9000.0,180000.0,Group of people,Working,Secondary / secondary special,Married,House / apartment,0.020246
414316,1,Cash loans,F,N,N,0,54000.0,436032.0,14053.5,360000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.019101
340051,0,Revolving loans,F,Y,Y,0,103500.0,315000.0,15750.0,315000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164
374107,0,Cash loans,F,N,Y,0,225000.0,147888.0,8617.5,117000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.035792000000000004
172837,0,Cash loans,F,N,Y,0,166500.0,270000.0,25897.5,270000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.018801
348778,0,Cash loans,F,N,Y,1,171000.0,422136.0,45594.0,396000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.00496
240073,0,Cash loans,F,Y,N,0,112500.0,675000.0,19737.0,675000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.030755
217218,1,Cash loans,M,Y,Y,1,225000.0,307287.0,26500.5,256500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.005002
145244,0,Cash loans,F,N,Y,0,157500.0,817560.0,29362.5,675000.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.003069
187572,0,Cash loans,M,N,Y,1,252000.0,558855.0,35712.0,477000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.006207
212762,0,Cash loans,F,N,N,0,67500.0,315000.0,13473.0,315000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.00702
151548,0,Cash loans,F,N,Y,2,225000.0,876816.0,42313.5,720000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561
317596,0,Cash loans,M,N,Y,0,135000.0,942300.0,30528.0,675000.0,Family,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0.035792000000000004
284885,0,Cash loans,M,N,Y,0,135000.0,592560.0,28638.0,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.032561
361336,0,Cash loans,F,N,Y,0,112500.0,563269.5,21361.5,396000.0,Children,Pensioner,Secondary / secondary special,Married,House / apartment,0.005084
310946,0,Cash loans,F,N,Y,2,180000.0,675000.0,65889.0,675000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.00963
151899,0,Cash loans,F,N,Y,0,112500.0,270000.0,14647.5,270000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,Office apartment,0.035792000000000004
354724,0,Cash loans,F,N,Y,1,193500.0,970380.0,34510.5,810000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.030755
423666,0,Cash loans,F,N,N,0,157500.0,675000.0,18562.5,675000.0,Unaccompanied,Commercial associate,Higher education,Civil marriage,House / apartment,0.018209
103431,0,Cash loans,F,N,N,0,72000.0,269550.0,11871.0,225000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.015221
275582,0,Cash loans,F,N,Y,0,472500.0,540000.0,20925.0,540000.0,Unaccompanied,Working,Higher education,Single / not married,House / apartment,0.006296
218653,0,Cash loans,F,N,Y,0,42750.0,688090.5,24844.5,594000.0,Unaccompanied,Pensioner,Lower secondary,Married,House / apartment,0.010032
247306,0,Cash loans,F,N,N,0,180000.0,270000.0,12024.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Widow,House / apartment,0.026392
438869,0,Cash loans,M,Y,N,0,315000.0,835380.0,42651.0,675000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.04622
423000,0,Cash loans,F,N,Y,0,319500.0,636138.0,18360.0,531000.0,Family,Pensioner,Secondary / secondary special,Widow,House / apartment,0.04622
328987,1,Cash loans,F,N,Y,1,81000.0,269550.0,21739.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.018029
403670,1,Cash loans,M,Y,N,0,292500.0,1958458.5,53856.0,1750500.0,Family,Working,Secondary / secondary special,Civil marriage,House / apartment,0.007305
415821,0,Cash loans,M,N,Y,0,180000.0,454500.0,24214.5,454500.0,Unaccompanied,Working,Incomplete higher,Married,House / apartment,0.019101
209514,0,Cash loans,F,N,Y,0,135000.0,1395000.0,42295.5,1395000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006008
175228,0,Cash loans,M,N,Y,1,112500.0,91647.0,7326.0,76500.0,Family,Working,Higher education,Married,House / apartment,0.035792000000000004
246819,1,Revolving loans,M,N,Y,1,157500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Separated,With parents,0.015221
182362,0,Cash loans,F,N,Y,0,112500.0,417024.0,17113.5,360000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018801
133814,0,Revolving loans,F,N,Y,1,112500.0,202500.0,10125.0,202500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.02461
343387,0,Cash loans,F,N,Y,0,112500.0,612612.0,24426.0,495000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.007120000000000001
402486,0,Revolving loans,M,Y,Y,0,405000.0,247500.0,12375.0,247500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.022625
191221,0,Cash loans,F,N,N,1,157500.0,1258650.0,52074.0,1125000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.02461
267873,0,Cash loans,F,N,N,2,180000.0,254700.0,20119.5,225000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.006629
248417,0,Cash loans,M,Y,Y,1,180000.0,95940.0,10201.5,90000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010006
110208,0,Cash loans,F,N,Y,0,157500.0,101880.0,11493.0,90000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Separated,House / apartment,0.003069
161519,0,Cash loans,M,Y,N,0,157500.0,270000.0,29079.0,270000.0,Unaccompanied,Working,Secondary / secondary special,Separated,House / apartment,0.035792000000000004
261237,0,Cash loans,F,N,N,0,90000.0,518463.0,16978.5,364500.0,Other_B,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.009657
282193,0,Cash loans,F,Y,Y,0,81000.0,177768.0,11002.5,135000.0,Unaccompanied,Pensioner,Lower secondary,Widow,House / apartment,0.008865999999999999
109879,0,Cash loans,M,N,N,0,180000.0,1075500.0,38758.5,1075500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.009549
297980,0,Cash loans,F,Y,N,2,180000.0,545040.0,25407.0,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.019689
367470,0,Cash loans,M,N,Y,0,112500.0,787131.0,26145.0,679500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004
337379,1,Cash loans,F,N,N,0,157500.0,592560.0,40216.5,450000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.018029
394575,0,Cash loans,M,N,Y,0,112500.0,762979.5,39087.0,616500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792000000000004
317387,0,Cash loans,F,N,N,0,126000.0,272520.0,21658.5,225000.0,Family,Commercial associate,Higher education,Married,House / apartment,0.035792000000000004
373354,0,Cash loans,F,N,Y,0,112500.0,1006920.0,39933.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.015221
196290,0,Cash loans,M,N,N,0,180000.0,86256.0,8041.5,72000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.018634
299741,1,Cash loans,F,N,Y,2,180000.0,578979.0,24660.0,517500.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.035792000000000004
