actor_1_id,actor_1_name,actor_1_facebook_likes
1404,Kayla Jackson,25
1737,Harry Carey Jr.,281
297,Will Patton,537
1147,Melanie Griffith,537
2008,Ally Sheedy,793
2090,Taliesin Jaffe,26
2098,Andrew Bujalski,26
1870,Ahna O'Reilly,282
1786,Jerry Mathers,282
1680,Najarra Townsend,538
365,Dougray Scott,794
1203,Tina Turner,794
1644,Ashley Scott,794
2038,Marina Vlady,27
1364,John Cothran,27
887,Mustafa Haidari,283
208,Jeff Bennett,283
2046,S. Epatha Merkerson,539
346,Colm Feore,539
249,Sasha Roiz,795
1988,Embeth Davidtz,795
377,Eric Idle,795
1558,Chris Brochu,795
1290,Yu-mi Jeong,28
1136,Lexie Contursi,28
1875,Gavin MacLeod,284
1047,Daniel Stern,796
1417,Russell Tovey,796
444,Donatas Banionis,29
1555,Otto Jespersen,29
1498,Yangzom Brauen,29
1700,Rapulana Seiphemo,29
769,Alexis Arquette,285
803,Fran̤ois Cluzet,541
754,Lena Olin,541
575,Cheryl Hines,541
892,James Callis,541
1157,Eva Amurri Martino,797
1924,Marina Golbahari,30
620,Maricel ́lvarez,30
1937,Brian Eno,30
1416,Aksel Hennie,286
1243,Danny Dyer,798
783,Frank Grillo,798
1785,Ximena Ayala,31
1413,Lindsay Kay Hayward,31
495,Kelly Rutherford,287
598,Daniel Mays,287
1331,Max Riemelt,287
1781,Ray Milland,287
358,Sunny Mabrey,287
1816,Mick Jagger,543
1090,Derek Luke,543
1180,Lee Majors,799
8,Brad Garrett,799
2097,Joseph Campanella,32
768,Fanny Ardant,288
2020,Joshua Ray Bell,288
591,Tatum O'Neal,288
209,Caroline Dhavernas,544
1533,Rachel Hendrix,544
74,Mark Chinnery,544
363,Matt Bomer,20000
2093,Derick Martini,20000
26,Hugh Jackman,20000
132,Natalie Portman,20000
1694,Jeffrey Falcon,33
1599,Alicja Bachleda,289
541,Bridgette Wilson-Sampras,545
449,Candice Bergen,545
511,Gena Rowlands,545
909,Steve Guttenberg,801
1750,Donald Glover,801
1791,D̩borah R̩vy,34
2012,Michael Abbott Jr.,35
1286,Bj�ürn Sundquist,35
2084,Justin Gordon,35
2119,Shane Carruth,291
1306,Telly Savalas,803
1111,Teo Halm,803
2045,Bahare Seddiqi,36
266,Peter Coyote,548
1681,Vanessa Lengies,804
1365,Rita Moreno,804
562,Gregory Scott Cummins,37
1403,Jonathan D. Mellor,37
1819,Michael Pollan,37
525,Noah Bean,293
981,Jennifer Hudson,549
1105,Jack Palance,549
836,Ed Skrein,805
820,Romola Garai,805
960,Joan Allen,805
1757,Brian Lee Franklin,38
420,Armin Mueller-Stahl,294
1333,Darren Shahlavi,294
458,Richard Burgi,550
714,Samaire Armstrong,806
1245,Adrian Martinez,806
135,Phaldut Sharma,39
2057,Peter Robbins,39
692,Louise Bourgoin,295
1165,Gary Daniels,551
569,Kathleen Quinlan,551
448,Regina Hall,807
1665,Phoebe Legere,40
1598,Susan Hampshire,40
765,Nicki Aycox,296
2123,Kerry Bish̩,296
2092,Paul Schneider,552
1749,Beau Bridges,552
1115,Justin Chon,552
955,Kelsey Grammer,808
577,Rene Russo,808
891,Andrew Fiscella,137000
342,Emma Watson,9000
234,Charlize Theron,9000
1719,Paul McGill,41
608,Tim Meadows,553
709,Elizabeth McGovern,553
1724,Donna Murphy,553
1314,Alexia Fast,553
838,Romain Duris,809
1653,Tiffany Helm,42
1720,Siobhan Marshall,42
1252,Teryl Rothery,298
622,Richard E. Grant,554
750,Cara Delevingne,554
1811,Hiroshi Abe,43
1015,Lochlyn Munro,555
683,Saffron Burrows,811
454,Adam Garcia,811
140,Vincent Schiavelli,811
805,Yolande Moreau,44
472,Judith Chapman,44
1582,Shirley Jones,556
1051,Khandi Alexander,556
821,Bingbing Fan,556
583,Dylan Baker,812
872,Sela Ward,812
1127,Isabella Rossellini,812
2078,Jon Brion,45
800,Don McKellar,45
2122,Richard Jewell,45
1276,Jung-min Hwang,45
775,Justin Fletcher,45
1261,Daniella Alonso,557
1753,Jessy Schram,813
736,Rob McElhenney,813
218,Roy Scheider,813
914,Jiao Xu,46
1363,Deborah Mailman,46
1462,Glenn Campbell,46
889,Andy Dick,302
1881,Victor Rasuk,302
161,Eartha Kitt,558
2023,Mark Fantasia,814
1981,Angeliki Papoulia,47
731,Piper Laurie,303
654,Cory Hardrict,303
699,Aldis Hodge,559
1444,Robert Shaw,559
847,Bob Balaban,559
1964,Catriona MacColl,48
1918,Blanchard Ryan,48
1516,Collin Alfredo St. Dic,48
859,Kath Soucie,304
1931,Takashi Shimura,304
1553,Wanda Sykes,560
1340,Michael Stuhlbarg,816
1783,Geoffrey Arend,816
1027,Beverly D'Angelo,816
1254,Veronica Ferres,30000
1879,Jo Hartley,49
1676,Vernon Dobtcheff,50
1637,Patrick Huard,50
1118,Jelena Jovanova,306
1482,Dan Fogler,562
789,Marco Trevi̱o,562
626,Liam Aiken,818
524,Bruce Dinsmore,51
2106,Shannen Fields,51
429,Paul Brooke,51
1775,Long Nguyen,51
2094,Elissa Dowling,307
1235,Naseeruddin Shah,307
1756,Jay Mohr,563
1284,David Keith,563
246,Mia Farrow,563
2056,Joel Moody,52
1986,Daniel London,52
1626,Gerry Lopez,52
1161,Ye Liu,52
558,Sonia Braga,308
2006,Amir Talai,308
1195,Arjun Rampal,564
826,Manish Dayal,820
104,Kevin Rankin,820
102,Sam Shepard,820
1740,Ohad Knoller,53
1833,Josh Swanson,53
336,Jennifer Saunders,309
88,Essie Davis,309
1755,Paulette Goddard,309
1496,Fabian Bolin,309
1780,Betsy Palmer,309
864,Jon Seda,565
1144,Tom Hughes,565
450,Bradley Whitford,821
1992,Don Wallace,54
1922,Terry Funk,54
1758,Angela Sarafyan,310
354,Blair Brown,310
917,Peter Vaughan,310
904,Catherine Lough Haggquist,310
1448,Norbert Ferrer,55
1269,Catherine Hicks,311
1457,Raymond Burr,311
962,David Margulies,567
1162,Richard Coyle,567
735,Erick Avari,567
662,Mark Gatiss,567
942,Nia Vardalos,567
1227,Robert Picardo,823
1686,Ari Folman,56
1865,Alma Martinez,56
1639,Satish Kaushik,56
1412,Philippe Nahon,56
1370,Merab Ninidze,56
1889,Isaac C. Singleton Jr.,312
1493,Katherine McNamara,19000
39,Benedict Cumberbatch,19000
261,Tom Selleck,19000
60,Scarlett Johansson,19000
1858,Boyd Banks,57
384,Andrea Corr,57
2027,Kenneth Tobey,57
2104,Tjasa Ferme,313
1617,Megan Park,569
1102,Usher Raymond,569
2004,Keri Maletto,569
1065,Christopher Heyerdahl,825
1962,Greg Ayres,58
2054,Temple Grandin,58
1667,Maika Monroe,314
1464,Dave Legeno,570
742,Rip Torn,826
691,Steve Howey,826
999,Hal Holbrook,826
600,Mitch Pileggi,826
584,Scott Glenn,826
628,Nia Long,826
1965,Brendon Small,59
1475,Maria Conchita Alonso,571
1107,Chris Elliott,571
1550,Ricardo DarÌ_n,827
166,Frances Conroy,827
1362,Laura Morante,60
1155,David Richmond-Peck,60
1185,Phyllida Law,60
908,Isabelle Adjani,572
1055,Levon Helm,572
947,Peter Gallagher,828
1071,Maximilian Dirr,61
1313,Sean Lennon,61
542,John Gatins,61
1470,Julia Jentsch,61
1788,Alex Huszar,61
1759,Morgana O'Reilly,61
1281,Lars Mikkelsen,573
905,Cameron Bright,829
1991,Robert John Burke,318
1595,Kevin Pollak,574
2049,Robin Lord Taylor,574
2063,Mark Duplass,830
970,Ulrich Tukur,63
1255,Ingvar Eggert Sigur̡sson,63
713,Jacques Perrin,63
1736,Jean Arthur,319
1605,French Stewart,319
1890,Jean-Louis Trintignant,319
1544,Slim Pickens,575
1064,Nirut Sirichanya,64
2113,Maggie Cheung,576
706,David Lyons,576
291,Roxanne McKee,576
219,Julia Roberts,8000
1190,Shah Rukh Khan,8000
167,Will Ferrell,8000
854,Shailene Woodley,8000
188,Logan Lerman,8000
2,Johnny Depp,40000
1372,Florian Lukas,65
1052,Elizabeth Berrington,65
1630,Joe Cross,65
1379,Lisa Wilcox,321
1806,Christopher Abbott,321
326,Daniel von Bargen,577
779,Stephen Dillane,577
964,David Masterson,577
229,Elden Henson,577
700,Joe Lo Truglio,833
134,Noel Fisher,833
200,Greg Grunberg,833
2030,The Dalai Lama,66
728,Sharon Small,66
1943,Shaun Sipos,322
503,Joaquim de Almeida,578
1591,Kristy Swanson,578
1523,Rachel Griffiths,578
1782,Vic Mignogna,578
341,Ivana Milicevic,834
247,Pedro Armend�Áriz Jr.,67
1287,Jacinda Barrett,579
474,Imelda Staunton,579
191,Denis Leary,835
1765,Katrina Law,835
1247,Madison Pettis,835
324,Patrick Fugit,835
2011,Judy Marte,68
1198,Karin Viard,68
311,Pamela Reed,324
629,Kyle Hebert,324
1268,Riccardo Scamarcio,580
707,Vinessa Shaw,580
504,Pink,836
911,Damon Wayans,836
1139,Tammin Sursok,836
1923,Kirby Heyborne,69
424,David Jason,325
1121,Rae Dawn Chong,581
1421,Johanna Braddy,581
670,Yaphet Kotto,581
618,Olivier Martinez,837
1099,Jacek Koman,70
536,Mathieu Kassovitz,326
483,Jamel Debbouze,326
1029,Roger Allam,326
1696,Paul Kaye,326
263,Bai Ling,582
386,Julie Walters,838
1039,Christine Taylor,838
413,Olivier Martinez,838
1328,Sandrine Kiberlain,71
1574,Nancy O'Dell,71
1685,Sook-Yin Lee,71
814,Seymour Cassel,327
1845,Kenny Johnston,327
601,Ken Arnold,327
529,Stephen Rea,327
1492,Jimmy Shergill,327
645,Rob Riggle,839
1652,Richard Brooker,72
994,DeRay Davis,328
1926,Rachel True,328
766,Lily Atkinson,328
216,Amber Stevens West,584
1325,Joely Richardson,584
1477,Keith Carradine,584
292,Vincent Pastore,584
1691,Alanna Ubach,584
21,Leonardo DiCaprio,29000
827,Roma Downey,329
667,Faizon Love,585
1170,Wagner Moura,585
2124,Natalie Zea,841
434,Chris Klein,841
1478,Sara Forestier,74
1561,Thomas Bo Larsen,74
423,Sh̫ Kosugi,330
644,Joan Plowright,330
1645,Anthony 'Citric' Campos,586
1796,Redd Foxx,586
1455,Akshaye Khanna,75
1984,Simon Abkarian,75
1629,Brianna Brown,331
1463,Luis Tosar,331
2110,Zoe Lister-Jones,331
1912,Paula Garc̩s,587
1794,Errol Flynn,843
798,Cheech Marin,843
555,Blythe Auffarth,76
939,Luenell,332
738,Robert Pine,332
703,Julian Glover,844
1825,Cheech Marin,844
1021,Bruce Dern,844
290,Charlotte Rampling,844
951,Hulk Hogan,844
1125,Richard Johnson,77
1972,Anita Page,77
1485,Alex Kendrick,589
119,Tony Curran,845
1186,Sam Riley,845
1244,Jorge Luis Moreno,78
1640,Bill Maher,334
1838,Patrick Renna,590
1663,Walter Hendrix III,846
808,Siu-Wong Fan,79
1856,David Oakes,335
596,Brian Blessed,591
830,Carlos Ponce,591
201,Curtiss Cook,591
1506,Marlee Matlin,847
1771,Jessica Szohr,847
1957,Jack E. Curenton,847
380,Christopher Judge,847
1648,Jossara Jinaro,847
1445,Brendan Fehr,847
1896,Adam LeFevre,80
1082,Janet Jackson,592
1401,Wesley Jonathan,592
1395,Pruitt Taylor Vince,592
553,Austin Pendleton,592
1915,Kirk Cameron,848
305,Delroy Lindo,848
1396,Drew Waters,848
12,Kevin Spacey,18000
70,Gerard Butler,18000
64,Keanu Reeves,18000
1784,Zuhair Haddad,18000
157,Denzel Washington,18000
50,Robin Wright,18000
2021,John Gilbert,81
2016,Florence Henderson,337
988,Kevin Grevioux,593
395,Margot Kidder,593
680,Eddie Cibrian,849
468,Sam Waterston,849
937,Louis Koo,82
1767,Adriana Caselotti,82
788,Frank Finlay,338
2017,Victoria Jackson,338
948,Sally Hawkins,594
720,Louis Jourdan,594
1265,B�Árbara Mori,594
1471,Udo Kier,595
1048,Trevor Morgan,595
1911,Russell Wong,595
1563,Roddy McDowall,595
97,Jada Pinkett Smith,851
974,Takuya Kimura,84
1946,Mary Kate Wiles,84
1172,Zoe Ventoura,84
233,Quincy Jones,340
682,Grace Phipps,596
138,Tim Blake Nelson,596
151,Oprah Winfrey,852
631,Lin Shaye,852
1495,Nimrat Kaur,85
1677,Adriana Barraza,85
1484,MÌ_a Maestro,341
932,Nicole 'Snooki' Polizzi,341
1763,Ashanti,341
1743,Lew Temple,597
1504,Austin Pendleton,597
1929,Monica Calhoun,597
967,Julie Christie,597
1732,Matthew Alan,86
2126,John August,86
1930,David Mamet,342
438,P.J. Soles,598
557,D.B. Woodside,598
421,Mike Starr,854
339,Jim Belushi,854
792,Tom Berenger,854
1769,Zak Penn,87
1399,Jeanne Moreau,343
1461,Mike Figueroa,343
1013,Gretchen Mol,599
437,Michael O'Neill,599
1828,Shiri Appleby,855
497,Wes Studi,855
1956,Chris Eigeman,88
1577,Veronica Taylor,88
1624,Joanna Kulig,88
638,Illeana Douglas,344
918,Necar Zadegan,344
306,Sayed Badreya,600
896,Aisha Tyler,856
1827,Steven Yeun,7000
253,Steve Carell,7000
2116,K̫ji Yakusho,89
1539,Gladys Cooper,89
1897,Laura Fraser,601
1998,Dreama Walker,601
767,Nicholas Gonzalez,601
1056,Anna Silk,857
773,Connie Ray,90
1033,Rae'Ven Kelly,90
1854,́lex Angulo,90
893,Aasif Mandvi,346
1907,Stacy Keach,602
1353,Michael Wong,91
1138,Illeana Douglas,347
1237,Bashar Rahal,603
1446,Fran Drescher,859
1857,Magi Avila,92
1053,Larry David,860
866,Jeremy Shada,860
1963,Bill Farmer,93
1442,Lara Jill Miller,93
1130,Alex Veadov,93
2102,Franky G,93
1734,Ally Walker,349
2014,Dustin Fitzsimons,349
287,Talisa Soto,349
1434,Peter Serafinowicz,605
607,Rosanna Arquette,605
118,Ronny Cox,605
1814,Billy West,861
1009,Brittany Daniel,861
1305,Tina Gilton,861
1192,Henry Thomas,861
1026,Nicole Dionne,94
1787,Spring Byington,94
2001,Parry Shen,94
882,Janet Leigh,606
1509,Montgomery Clift,862
1034,Claude Rains,607
860,Lamman Rucker,607
527,Oliver Hudson,607
928,Eric Mendenhall,607
1839,Yul Vazquez,96
2033,William Joseph Elk III,96
851,Bam Margera,608
949,Christian Clemenson,97
1294,Padraic Delaney,97
493,Carmen Perez,97
1385,Antoni Corone,97
1951,Lawrence Gilliard Jr.,353
1695,Karisma Kapoor,353
1934,Haley Ramm,353
359,Josh Wingate,865
538,Omar Epps,865
845,Chris Harrison,98
1298,Eleanor Parker,354
1046,Yuri Lowenthal,354
1903,Ginger Rogers,610
254,Ariana Richards,610
980,Henry Ian Cusick,866
2087,Marcello Mastroianni,866
1354,Erin Fitzgerald,99
784,Chris Marquette,355
1505,Meg Foster,355
221,Larry Miller,611
925,David Arquette,611
1326,Molly Parker,611
257,Nicholas Lea,867
2009,Samantha Futerman,100
1813,James Drury,356
1820,Gaby Hoffmann,612
107,James D'Arcy,613
669,Carmen Electra,869
1831,Pel̩,102
722,Richard Wilson,358
1942,Mike Beckingham,358
1181,Luke Newberry,358
293,Max Minghella,614
274,Tim Conway,870
368,Nate Richert,870
1024,Chen Chang,103
1393,Noam Chomsky,103
1979,Jack Warden,359
1976,Michael Dudikoff,615
1632,Barack Obama,871
2002,Nicole Ari Parker,360
649,John Doman,616
37,Peter Capaldi,17000
51,Channing Tatum,17000
225,Kristen Stewart,17000
111,Jim Parsons,17000
54,Chlo�Ç Grace Moretz,17000
87,Robin Williams,49000
1615,Nehemiah Persoff,105
1961,Tony Doupe,361
1634,Patricia Neal,617
659,Kurt Fuller,617
392,James Mason,617
1521,Noah Emmerich,617
1954,Jennifer Lafleur,873
179,Michael Imperioli,873
915,Christian Clavier,106
1142,JÌ_rgen Prochnow,362
1669,James Mason,618
774,Aimee Garcia,618
349,Isaac Hempstead Wright,874
786,Sissy Spacek,874
485,Robert Clohessy,107
1303,Mackenzie Davis,363
1698,Brad William Henke,363
1849,Nicole Randall Johnson,363
1106,�Òscar Jaenada,619
1611,Greg Crowe,875
224,Ted Danson,875
1891,Raymond J. Barry,108
1967,Dov Tiefenbach,108
971,James Hetfield,364
689,Emily Watson,876
1058,Curtis Armstrong,876
920,Mani Bharathi,109
1868,Odessa Rae,109
1479,William Kircher,109
982,Kirk Fox,109
621,Tamsin Egerton,621
1583,Maximilian Schell,877
530,Jordi Moll�Ê,877
2044,Paul Hickert,110
1499,Art Hindle,110
340,James Babson,366
190,Will Forte,622
63,Tamsin Egerton,622
1356,Ben Browder,878
1154,Li Gong,878
1087,Monica Potter,878
2086,Paul Daniel Ayotte,111
172,Ben Gazzara,623
1520,Hector Kotsifakis,623
313,Caitlin Stasey,623
436,Lauren Holly,879
215,Li Gong,879
1405,Alice Krige,368
1450,Kim Dickens,624
480,Tony Cox,624
513,Johnny Cannizzaro,880
20,Naomi Watts,6000
852,Mackenzie Foy,6000
145,Eva Green,6000
455,Lucille Ball,6000
627,Terry Pheto,113
440,Nandita Das,113
1406,Stephen Macht,113
406,Lupe Ontiveros,625
1548,Joe Estevez,625
1562,Armando Riesco,625
338,Snoop Dogg,881
694,Konstantin Khabenskiy,114
1656,Saeed Jaffrey,114
2105,Kristen Seavey,370
239,Charlie Rowe,882
1043,William Hurt,882
1657,Rachel Skarsten,371
1207,Billy Drago,371
422,Amber Valletta,627
965,Tadanobu Asano,627
615,Archie Panjabi,883
1341,Irvin Kershner,883
372,Barry Corbin,883
25,Albert Finney,883
1037,Jessie T. Usher,116
1368,David Wayne,116
1344,Roy Billing,116
2072,Leon Isaac Kennedy,116
623,David Paymer,372
957,Jason Robards,372
1901,Richard Curtis,628
1721,Logan Browning,628
1542,Peter Graves,628
559,Beth Grant,628
543,Sarah Roemer,884
1659,J�ürgen Langhelle,117
396,Todd Giebenhain,117
1540,Alice Olivia Clarke,117
1327,Eric Johnson,373
1382,Hugh M. Hefner,373
1131,Shelley Duvall,629
1150,Doona Bae,629
427,Grey Damon,629
902,Chriss Anglin,885
927,Jeffrey Combs,885
2080,Michelle Simone Miller,118
1420,Abhishek Bachchan,374
1242,Kip Pardue,374
1241,Numan Acar,374
259,Adam Arkin,374
2107,Ashley Tramonte,630
127,Nathan Lane,886
1075,Fred Gwynne,886
277,Sanaa Lathan,886
1538,Fernanda Montenegro,119
1906,David Zucker,119
2013,James Urbaniak,119
1987,John Robinson,375
676,Warren Beatty,631
400,Alice Greczyn,631
1072,Samantha Morton,631
207,Shirley Henderson,887
587,Heather O'Rourke,887
2062,Christopher Denham,120
1671,Eric Sheffer Stevens,120
1661,Manuela Velasco,120
2051,Bebe Neuwirth,376
1560,Corbin Bleu,632
926,Scatman Crothers,888
4,Tom Hardy,27000
1702,Peter McQuinn,121
2121,Carlos Gallardo,121
1202,Lane Smith,633
1708,Mircea Monroe,633
1010,Bolo Yeung,633
362,Robert Forster,889
1459,Meghan Ory,889
1355,Debi Derryberry,122
1620,Iben Hjejle,122
1251,Damian Walshe-Howling,122
564,Mike Howard,378
1745,Scott Cohen,378
1112,Yuki Matsuzaki,378
1231,Scott Mechlowicz,634
1810,Benjamin A. Onyango,634
996,Tippi Hedren,634
1006,Ivana Baquero,634
1552,Ted Raimi,634
1402,Asin,634
69,Vivica A. Fox,890
1627,Karra Elejalde,123
611,Paul Sorvino,635
1733,Sarah Butler,635
18,Mark Addy,891
1095,Sebastian Koch,380
1795,Christie Burke,380
1980,Claudette Colbert,380
1394,Catherine Bell,636
1408,Paul Sorvino,636
1178,Steven Bauer,636
534,Carol Kane,636
1076,MarÌ_a Valverde,892
875,Jay Laga'aia,125
1501,Judith O'Dea,125
1633,Tom Atkins,381
1194,Antonia Thomas,381
1338,Kimberly Elise,637
1532,Eric Mabius,637
809,Minnie Driver,893
2073,Fay Masterson,126
1378,Ed Wynn,382
1510,Geraldine Chaplin,382
1292,Mary Elizabeth Mastrantonio,638
835,Rock Hudson,638
641,Frances Fisher,638
1735,Nawazuddin Siddiqui,638
28,Glenn Morshower,894
1642,Benno FÌ_rmann,127
146,Mahadeo Shivraj,383
867,Gunnar Hansen,383
701,Eddie Cahill,639
1197,Santiago Cabrera,639
1844,Scott Levy,639
1660,Michael Derek,128
6,Daryl Sabara,640
1608,Anthony L. Fernandez,640
1377,Katharine Ross,640
829,Denis O'Hare,896
19,Christopher Lee,16000
848,Ian Somerhalder,16000
33,Ryan Reynolds,16000
398,Quentin Tarantino,16000
42,Charlie Hunnam,16000
304,Clint Eastwood,16000
533,Bobbie Phillips,16000
1762,Monica Barladeanu,129
822,Drew Powell,129
1491,Oksana Akinshina,129
840,Ornella Muti,385
1549,John Mahoney,385
737,Ryan O'Neal,385
1949,Mike Stanley,385
1586,John Astin,641
973,Edgar RamÌ_rez,897
1578,Ed Lauter,897
590,Jodi Lyn O'Keefe,897
1821,Sheryl Crow,130
1104,Tuesday Knight,130
1613,Maeve Dermody,130
1840,Will Rothhaar,386
723,Phil Davis,386
1693,Jess Weixler,386
744,David Conrad,642
752,Kevin Nash,642
1966,Treat Williams,642
231,Vanessa Redgrave,898
1101,Jason Mewes,898
1494,Sid Caesar,898
276,Nicole Beharie,898
1361,Lubna Azabal,131
1867,Anamaria Marinca,131
5,Doug Walker,131
1567,Honor Blackman,387
508,Joe Don Baker,387
1793,Rich Ceraulo,387
1939,Carol Channing,387
